ELEV,VEG,PLOT,ID,PRE,COLLECT,POST,REMAINg,REMAINper,COMMENT
HIGH,CANOPY,HC2,HC2-2,2.036,2,1.395,0.641,0.685166994,
HIGH,CANOPY,HC3,HC3-2,1.987,2,1.365,0.622,0.686965274,
LOW,OPEN,LO1,LO1-3,2.046,3,1.07,0.976,0.522971652,
LOW,OPEN,LO2,LO2-3,2.04,3,1.099,0.941,0.53872549,
LOW,OPEN,LO3,LO3-3,2.013,3,1.575,0.438,0.782414307,
LOW,SHRUB,LS1,LS1-3,1.98,3,0.668,1.312,0.337373737,
LOW,SHRUB,LS2,LS2-3,2.045,3,1.099,0.946,0.537408313,
LOW,SHRUB,LS3,LS3-3,1.972,3,1.139,0.833,0.577586207,
LOW,CANOPY,LC1,LC1-3,2.013,3,1.038,0.975,0.515648286,
LOW,CANOPY,LC2,LC2-1,2.024,3,1.027,0.997,0.507411067,
LOW,CANOPY,LC3,LC3-3,1.942,3,1.127,0.815,0.580329557,
MID,OPEN,MO1,MO1-3,2.018,3,1.161,0.857,0.575322101,
MID,OPEN,MO2,MO2-4,2.016,3,1.127,0.889,0.559027778,
MID,OPEN,MO3,MO3-2,1.974,3,1.071,0.903,0.542553191,
MID,SHRUB,MS1,MS1-3,2,3,1.174,0.826,0.587,
MID,SHRUB,MS2,MS2-3,1.953,3,1.065,0.888,0.5453149,
MID,SHRUB,MS3,MS3-3,2.043,3,1.075,0.968,0.52618698,
MID,CANOPY,MC1,MC1-3,1.997,3,1.209,0.788,0.605408112,
MID,CANOPY,MC2,MC2-1,2.009,3,1.007,1.002,0.5012444,
MID,CANOPY,MC3,MC3-3,1.966,3,0.972,0.994,0.494404883,
HIGH,OPEN,HO1,HO1-3,1.982,3,1.247,0.735,0.629162462,
HIGH,OPEN,HO2,HO2-3,1.96,3,1.096,0.864,0.559183673,
HIGH,OPEN,HS3,HS3-3,1.952,3,1.196,0.756,0.612704918,
HIGH,SHRUB,HO3,HO3-3,1.977,3,1.263,0.714,0.638846737,
HIGH,SHRUB,HS1,HS1-3,2.022,3,1.129,0.893,0.558358061,
HIGH,SHRUB,HS2,HS2-3,1.996,3,1.117,0.879,0.559619238,
HIGH,CANOPY,HC1,HC1-3,2.016,3,1.268,0.748,0.628968254,
HIGH,CANOPY,HC2,HC2-3,1.971,3,1.168,0.803,0.592592593,
HIGH,CANOPY,HC3,HC3-3,1.994,3,1.185,0.809,0.594282849,
LOW,OPEN,LO1,LO1-4,2.038,4,0.968,1.07,0.474975466,
LOW,OPEN,LO2,LO2-4,2.008,4,1.012,0.996,0.503984064,
LOW,SHRUB,LS1,LS1-4,2.022,4,0.921,1.101,0.455489614,
LOW,SHRUB,LS2,LS2-4,1.997,4,0.992,1.005,0.496745118,
LOW,SHRUB,LS3,LS3-4,2.008,4,1.168,0.84,0.581673307,busted; maybe extra
LOW,CANOPY,LC1,LC1-4,1.942,4,1.015,0.927,0.522657055,
LOW,CANOPY,LC2,LC2-4,1.954,4,1.045,0.909,0.534800409,
LOW,CANOPY,LC3,LC3-4,2.01,4,1.127,0.883,0.560696517,
MID,OPEN,MO1,MO1-4,1.997,4,0.954,1.043,0.477716575,
MID,OPEN,MO2,MO2-3,2.001,4,0.996,1.005,0.497751124,labelled mo2 04
MID,OPEN,MO3,MO3-4,2.038,4,0.785,1.253,0.385181551,
MID,SHRUB,MS1,MS1-4,2.036,4,1.029,1.007,0.50540275,
MID,SHRUB,MS2,MS2-4,2.006,4,0.837,1.169,0.417248255,
MID,SHRUB,MS3,MS3-4,2.042,4,1.067,0.975,0.522526934,
MID,CANOPY,MC1,MC1-4,1.988,4,1.128,0.86,0.567404427,
MID,CANOPY,MC2,MC2-4,1.958,4,1.1652,0.7928,0.595097038,
MID,CANOPY,MC3,MC3-4,2.02,4,0.862,1.158,0.426732673,
HIGH,OPEN,HO1,HO1-4,1.992,4,1.22,0.772,0.612449799,
HIGH,OPEN,HO2,HO2-4,2.001,4,0.922,1.079,0.460769615,
HIGH,OPEN,HS3,HS3-4,1.984,4,1.109,0.875,0.558971774,
HIGH,SHRUB,HO3,HO3-4,1.97,4,1.081,0.889,0.548730964,
HIGH,SHRUB,HS1,HS1-4,1.971,4,1.198,0.773,0.607813293,
HIGH,SHRUB,HS2,HS2-4,2.009,4,1.086,0.923,0.540567446,
HIGH,CANOPY,HC1,HC1-4,1.958,4,1.176,0.782,0.60061287,
HIGH,CANOPY,HC2,HC2-4,2.05,4,1.087,0.963,0.530243902,
HIGH,CANOPY,HC3,HC3-4,1.949,4,1.093,0.856,0.56080041,
LOW,OPEN,LO1,LO1-5,2.061,5,1.065,0.996,0.516739447,
LOW,OPEN,LO2,LO2-5,1.981,5,0.897,1.084,0.452801615,no. 5 found on sticker
LOW,OPEN,LO3,LO3-5,2.006,5,0.73,1.276,0.363908275,
LOW,SHRUB,LS1,LS1-5,2.05,5,0.639,1.411,0.311707317,
LOW,SHRUB,LS2,LS2-5,2.037,5,0.684,1.353,0.335787923,
LOW,SHRUB,LS3,LS3-5,2.014,5,1.053,0.961,0.522840119,
LOW,CANOPY,LC1,LC1-5,1.964,5,0.853,1.111,0.434317719,
LOW,CANOPY,LC2,LC2-5,1.983,5,0.658,1.325,0.331820474,part of bag was lost/sample seemingly intact
LOW,CANOPY,LC3,LC3-5,2.045,5,0.888,1.157,0.434229829,
MID,OPEN,MO1,MO1-5,1.997,5,0.774,1.223,0.387581372,
MID,OPEN,MO2,MO2-5,1.965,5,0.962,1.003,0.48956743,
MID,OPEN,MO3,MO3-5,2.016,5,0.911,1.105,0.451884921,
MID,SHRUB,MS2,MS2-5,1.995,5,0.922,1.073,0.462155388,
MID,SHRUB,MS3,MS3-5,1.941,5,0.917,1.024,0.472436888,
MID,CANOPY,MC1,MC1-5,1.972,5,1.029,0.943,0.521805274,
MID,CANOPY,MC2,MC2-5,1.997,5,0.757,1.24,0.379068603,
MID,CANOPY,MC3,MC3-5,1.992,5,0.769,1.223,0.386044177,
HIGH,OPEN,HO1,HO1-5,1.947,5,0.248,1.699,0.127375449,
HIGH,OPEN,HO2,HO2-5,2.011,5,0.945,1.066,0.469915465,
HIGH,OPEN,HS3,HS3-5,1.984,5,0.986,0.998,0.496975806,
HIGH,SHRUB,HO3,HO3-5,1.952,5,1.033,0.919,0.52920082,double check this one
HIGH,SHRUB,HS1,HS1-5,1.989,5,1.087,0.902,0.546505782,
HIGH,SHRUB,HS2,HS2-5,2.04,5,1.308,0.732,0.641176471,
HIGH,CANOPY,HC1,HC1-5,2.015,5,1.088,0.927,0.539950372,
HIGH,CANOPY,HC2,HC2-5,2.035,5,0.929,1.106,0.456511057,
HIGH,CANOPY,HC3,HC3-5,1.984,5,0.985,0.999,0.496471774,
